tile_id,iou,f1,precision,recall,ece,optimal_threshold,tp_pixels,fp_pixels,fn_pixels
stitched_19_154400_197164,0.0,0.0,0.0,0.0,0.1900031662192987,0.3,0,0,643
stitched_19_154400_197166,0.0,0.0,0.0,0.0,0.18053940428842452,0.3,0,0,3211
stitched_19_154400_197168,0.0,0.0,0.0,0.0,0.18194705911059827,0.3,0,0,2730
stitched_19_154400_197170,0.0,0.0,0.0,0.0,0.18298110814930624,0.3,0,0,2403
stitched_19_154402_197152,0.0,0.0,0.0,0.0,0.18545071434942884,0.3,0,0,1630
stitched_19_154402_197154,0.0,0.0,0.0,0.0,0.18496978841972123,0.3,0,0,2143
stitched_19_154402_197156,0.0,0.0,0.0,0.0,0.19281942990761536,0.3,0,0,0
stitched_19_154402_197158,0.0,0.0,0.0,0.0,0.1902479518669793,0.3,0,0,715
stitched_19_154402_197160,0.0,0.0,0.0,0.0,0.19194783870244692,0.3,0,0,429
stitched_19_154402_197162,0.0,0.0,0.0,0.0,0.19132856848830215,0.3,0,0,429
stitched_19_154402_197164,0.0,0.0,0.0,0.0,0.19281821129908394,0.3,0,0,0
stitched_19_154402_197166,0.0,0.0,0.0,0.0,0.18598040404839367,0.3,0,0,1712
stitched_19_154402_197168,0.0,0.0,0.0,0.0,0.183171120014606,0.3,0,0,2354
stitched_19_154402_197170,0.0,0.0,0.0,0.0,0.18964224328527735,0.3,0,0,857
stitched_19_154404_197152,0.0,0.0,0.0,0.0,0.18908732417946794,0.3,0,0,856
stitched_19_154404_197154,0.0,0.0,0.0,0.0,0.18632983536411984,0.3,0,0,1709
stitched_19_154404_197156,0.0,0.0,0.0,0.0,0.19009884362867524,0.3,0,0,858
stitched_19_154404_197158,0.0,0.0,0.0,0.0,0.18336467073226004,0.3,0,0,2468
stitched_19_154404_197160,0.0,0.0,0.0,0.0,0.19239970060027645,0.3,0,0,20
stitched_19_154404_197162,0.0,0.0,0.0,0.0,0.1809775792227697,0.3,0,0,3005
stitched_19_154404_197164,0.0,0.0,0.0,0.0,0.19072569785765836,0.3,0,0,430
stitched_19_154404_197166,0.0,0.0,0.0,0.0,0.18190972063257504,0.3,0,0,3004
stitched_19_154404_197168,0.0,0.0,0.0,0.0,0.18927884068887124,0.3,0,0,738
stitched_19_154404_197170,0.0,0.0,0.0,0.0,0.1871341866489047,0.3,0,0,1623
stitched_19_154406_197152,0.0,0.0,0.0,0.0,0.18797877941096885,0.3,0,0,1166
stitched_19_154406_197154,0.0,0.0,0.0,0.0,0.1887958490328856,0.3,0,0,920
stitched_19_154406_197156,0.0,0.0,0.0,0.0,0.19028003098048885,0.3,0,0,426
stitched_19_154406_197158,0.0,0.0,0.0,0.0,0.18675629608810596,0.3,0,0,1521
stitched_19_154406_197160,0.0,0.0,0.0,0.0,0.190624124734029,0.3,0,0,408
stitched_19_154406_197162,0.0,0.0,0.0,0.0,0.18901941093162122,0.3,0,0,854
stitched_19_154406_197164,0.0,0.0,0.0,0.0,0.19194131519947177,0.3,0,0,0
stitched_19_154406_197166,0.0,0.0,0.0,0.0,0.18630199865168606,0.3,0,0,1716
stitched_19_154406_197168,0.0,0.0,0.0,0.0,0.1929492288761594,0.3,0,0,0
stitched_19_154406_197170,0.0,0.0,0.0,0.0,0.1733055899121041,0.3,0,0,5145
stitched_19_154408_197152,0.0,0.0,0.0,0.0,0.1885016727060247,0.3,0,0,973
stitched_19_154408_197154,0.0,0.0,0.0,0.0,0.18634675657045818,0.3,0,0,1653
stitched_19_154408_197156,0.0,0.0,0.0,0.0,0.18763713837739715,0.3,0,0,1281
stitched_19_154408_197158,0.0,0.0,0.0,0.0,0.18596824106703025,0.3,0,0,1716
stitched_19_154408_197160,0.0,0.0,0.0,0.0,0.1922658341657666,0.3,0,0,0
stitched_19_154408_197162,0.0,0.0,0.0,0.0,0.19200452267989476,0.3,0,0,0
stitched_19_154408_197164,0.0,0.0,0.0,0.0,0.19232361260395692,0.3,0,0,0
stitched_19_154408_197166,0.0,0.0,0.0,0.0,0.18731693122151682,0.3,0,0,1453
stitched_19_154408_197168,0.0,0.0,0.0,0.0,0.19255347896995545,0.3,0,0,0
stitched_19_154408_197170,0.0,0.0,0.0,0.0,0.1808589618696601,0.3,0,0,2999
stitched_19_154410_197152,0.0,0.0,0.0,0.0,0.18838013288711863,0.3,0,0,840
stitched_19_154410_197154,0.0,0.0,0.0,0.0,0.1866605761504161,0.3,0,0,1300
stitched_19_154410_197156,0.0,0.0,0.0,0.0,0.19148785163912407,0.3,0,0,0
stitched_19_154410_197158,0.0,0.0,0.0,0.0,0.18672706012040408,0.3,0,0,1284
stitched_19_154410_197160,0.0,0.0,0.0,0.0,0.1908809584359119,0.3,0,0,0
stitched_19_154410_197162,0.0,0.0,0.0,0.0,0.19182932596430646,0.3,0,0,0
stitched_19_154410_197164,0.0,0.0,0.0,0.0,0.19118489556274199,0.3,0,0,0
stitched_19_154410_197166,0.0,0.0,0.0,0.0,0.18593122477858515,0.3,0,0,1553
stitched_19_154410_197168,0.0,0.0,0.0,0.0,0.1907007009660333,0.3,0,0,0
stitched_19_154410_197170,0.0,0.0,0.0,0.0,0.18307324926200863,0.3,0,0,2145
